Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2025-01-14 15:20:00,96961.2,97000,96761.3,96975.5,3.467,2025-01-14 15:24:59,336164.2219,59,2.853,276682.2503,0
2025-01-14 15:25:00,96975.5,97221.9,96500,97110.9,17.275,2025-01-14 15:29:59,1672320.8553,163,7.954,770448.7057,0
2025-01-14 15:30:00,97208.6,97299,96500,96898,9.321,2025-01-14 15:34:59,904753.0651,128,3.171,308329.2695,0
2025-01-14 15:35:00,97075.6,97299,96500,96831,9.999,2025-01-14 15:39:59,969584.3056,197,4.922,478305.5706,0
2025-01-14 15:40:00,96908.4,97296.9,96745.5,96975.5,4.893,2025-01-14 15:44:59,474472.1214,124,2.46,238654.7532,0
2025-01-14 15:45:00,97013,97290,96601,97084.8,18.395,2025-01-14 15:49:59,1779864.8342,159,4.999,484565.7921,0
2025-01-14 15:50:00,97007.2,97290,96763,97226.5,5.154,2025-01-14 15:54:59,500298.4578,95,3.24,314682.448,0
2025-01-14 15:55:00,97265.4,97290,97107.6,97107.7,4.24,2025-01-14 15:59:59,412275.2912,76,2.39,232485.3451,0
2025-01-14 16:00:00,97288.2,97331.5,96501,96918.5,41.882,2025-01-14 16:04:59,4052961.1287,239,6.092,591709.3684,0
2025-01-14 16:05:00,96918.5,96918.6,96413.5,96898,19.019,2025-01-14 16:09:59,1839569.3065,150,10.276,995783.49,0
2025-01-14 16:10:00,96804.1,96918.6,95910,96910,20.51,2025-01-14 16:14:59,1981211.5863,216,7.099,687935.7767,0
2025-01-14 16:15:00,96909.8,96918.6,96300,96850.4,12.614,2025-01-14 16:19:59,1219003.3953,122,4.494,435398.2931,0
2025-01-14 16:20:00,96769.5,96918,95910,96898,13.539,2025-01-14 16:24:59,1306854.7484,94,5.368,520189.3932,0
2025-01-14 16:25:00,96464.2,96918.6,95872,95872,19.861,2025-01-14 16:29:59,1912479.7627,490,6.099,590843.2302,0
2025-01-14 16:30:00,96213.1,96918.7,95867,96904.8,9.738,2025-01-14 16:34:59,939514.9329,358,5.523,534885.8673,0
2025-01-14 16:35:00,96918.6,96918.7,95867,96422.7,12.608,2025-01-14 16:39:59,1213229.7736,235,4.736,456905.8808,0
2025-01-14 16:40:00,96422.6,96422.7,95867,96355.6,10.718,2025-01-14 16:44:59,1029078.9221,235,2.483,239148.6112,0
2025-01-14 16:45:00,95998,96422.8,95867,96093.3,11.001,2025-01-14 16:49:59,1057573.1621,150,4.689,451730.9811,0
2025-01-14 16:50:00,96093.3,96500,95867,95867,12.829,2025-01-14 16:54:59,1231025.9949,125,4.002,384728.9854,0
2025-01-14 16:55:00,95867,96950,95867,95998.1,34.113,2025-01-14 16:59:59,3287178.3367,519,16.447,1587942.5512,0
2025-01-14 17:00:00,96184.6,96950,96000,96361.5,7.386,2025-01-14 17:04:59,712401.9111,161,4.927,475464.2337,0
2025-01-14 17:05:00,96361.5,96898,95867,96426.1,23.867,2025-01-14 17:09:59,2299570.4835,286,9.674,935139.3663,0
2025-01-14 17:10:00,96560.4,97327,95867,96529.1,13.691,2025-01-14 17:14:59,1320579.3796,205,6.398,619026.5925,0
2025-01-14 17:15:00,96529.1,97327,95867,95867,20.268,2025-01-14 17:19:59,1964494.6089,382,12.458,1211089.0676,0
2025-01-14 17:20:00,96298,97299,95867,96107.2,15.631,2025-01-14 17:24:59,1505465.6319,223,3.858,372901.8222,0
2025-01-14 17:25:00,95998,97279,95867,96850.4,21.714,2025-01-14 17:29:59,2094277.2302,393,11.101,1073143.1718,0
2025-01-14 17:30:00,96850.3,97200,95867,96422.2,11.474,2025-01-14 17:34:59,1108247.4092,171,6.221,602545.6862,0
2025-01-14 17:35:00,96273.8,96422.4,95867,95867.1,2.416,2025-01-14 17:39:59,231877.6103,66,0.283,27278.7267,0
2025-01-14 17:40:00,96298,96422.4,95867,96108.8,1.228,2025-01-14 17:44:59,118193.6607,91,1.093,105246.5971,0
2025-01-14 17:45:00,96108.8,96518,95867,95870.1,7.1,2025-01-14 17:49:59,683190.9961,75,4.281,412926.3542,0
2025-01-14 17:50:00,95871.1,96523.6,95871,95997.9,2.516,2025-01-14 17:54:59,242045.8452,63,0.281,27098.662,0
2025-01-14 17:55:00,95990.4,95998,95990.4,95997.9,0.655,2025-01-14 17:59:59,62877.0537,62,0.381,36575.2191,0
2025-01-14 18:00:00,95997.9,97198,95997.9,96686,7.105,2025-01-14 18:04:59,686014.4498,170,4.811,464275.0177,0
2025-01-14 18:05:00,96699.8,96699.9,96686,96686.1,1.593,2025-01-14 18:09:59,154028.3065,24,0.54,52217.936,0
2025-01-14 18:10:00,96686.1,97200,96686,96686.1,6.502,2025-01-14 18:14:59,629399.2413,65,5.601,542284.9933,0
2025-01-14 18:15:00,97198,97279,96425.1,97279,21.792,2025-01-14 18:19:59,2113035.736,151,10.825,1051532.8673,0
2025-01-14 18:20:00,96898,97279,96603.3,97198,7.58,2025-01-14 18:24:59,735136.9548,79,3.011,292697.3206,0
2025-01-14 18:25:00,96831,97094.4,96808.8,97032.6,1.538,2025-01-14 18:29:59,149020.8204,43,0.573,55600.2125,0
2025-01-14 18:30:00,97032.6,97277,96808.8,97171.8,5.418,2025-01-14 18:34:59,526177.6235,63,3.795,368693.7644,0
2025-01-14 18:35:00,97198,97277,96739.6,97199.9,8.458,2025-01-14 18:39:59,821095.1724,72,5.186,503858.911,0
2025-01-14 18:40:00,97161,97200,95867,96769.4,12.009,2025-01-14 18:44:59,1164140.7683,162,6.75,655284.224,0
2025-01-14 18:45:00,96464.2,96819.1,96229,96819.1,0.088,2025-01-14 18:49:59,8497.0217,29,0.043,4160.1537,0
