Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2025-01-14 17:55:00,95990.40,95998.00,95990.40,95997.90,0.655,2025-01-14 17:59:59,62877.05370,62,0.381,36575.21910,0
2025-01-14 18:00:00,95997.90,97198.00,95997.90,96686.00,7.105,2025-01-14 18:04:59,686014.44980,170,4.811,464275.01770,0
2025-01-14 18:05:00,96699.80,96699.90,96686.00,96686.10,1.593,2025-01-14 18:09:59,154028.30650,24,0.540,52217.93600,0
2025-01-14 18:10:00,96686.10,97200.00,96686.00,96686.10,6.502,2025-01-14 18:14:59,629399.24130,65,5.601,542284.99330,0
2025-01-14 18:15:00,97198.00,97279.00,96425.10,97279.00,21.792,2025-01-14 18:19:59,2113035.73600,151,10.825,1051532.86730,0
2025-01-14 18:20:00,96898.00,97279.00,96603.30,97198.00,7.580,2025-01-14 18:24:59,735136.95480,79,3.011,292697.32060,0
2025-01-14 18:25:00,96831.00,97094.40,96808.80,97032.60,1.538,2025-01-14 18:29:59,149020.82040,43,0.573,55600.21250,0
2025-01-14 18:30:00,97032.60,97277.00,96808.80,97171.80,5.418,2025-01-14 18:34:59,526177.62350,63,3.795,368693.76440,0
2025-01-14 18:35:00,97198.00,97277.00,96739.60,97199.90,8.458,2025-01-14 18:39:59,821095.17240,72,5.186,503858.91100,0
2025-01-14 18:40:00,97161.00,97200.00,95867.00,96769.40,12.009,2025-01-14 18:44:59,1164140.76830,162,6.750,655284.22400,0
2025-01-14 18:45:00,96464.20,97176.90,96229.00,96915.90,3.439,2025-01-14 18:49:59,333064.62300,142,2.908,281676.45890,0
2025-01-14 18:50:00,96915.90,96916.00,96488.50,96710.30,5.721,2025-01-14 18:54:59,553432.93670,77,3.161,306022.26050,0
2025-01-14 18:55:00,96710.30,97199.90,96710.30,96898.00,2.587,2025-01-14 18:59:59,250608.01380,49,1.330,129006.55020,0
2025-01-14 19:00:00,96898.00,97199.90,96300.00,96694.40,6.373,2025-01-14 19:04:59,617046.23130,191,3.192,309917.49480,0
2025-01-14 19:05:00,96694.40,97199.90,95867.00,96581.20,13.181,2025-01-14 19:09:59,1271649.89890,245,5.185,502831.63780,0
2025-01-14 19:10:00,96581.20,96961.40,95867.00,96598.00,2.720,2025-01-14 19:14:59,262119.16500,110,1.179,114273.23100,0
2025-01-14 19:15:00,96898.00,96975.00,96295.60,96769.40,0.396,2025-01-14 19:19:59,38281.81780,57,0.215,20835.18900,0
2025-01-14 19:20:00,96850.40,97200.00,96363.70,97190.00,7.552,2025-01-14 19:24:59,732558.81300,200,5.568,540418.07580,0
2025-01-14 19:25:00,97190.00,97199.90,97161.00,97199.90,8.446,2025-01-14 19:29:59,820845.44150,90,5.844,568029.02310,0
2025-01-14 19:30:00,97161.10,97199.90,96653.10,96911.60,4.589,2025-01-14 19:34:59,444789.82720,122,1.493,144779.46930,0
2025-01-14 19:35:00,96653.10,97199.90,95877.00,96859.20,5.183,2025-01-14 19:39:59,500935.34240,160,2.984,289062.96840,0
2025-01-14 19:40:00,97068.60,97199.90,96574.00,96853.90,10.077,2025-01-14 19:44:59,977095.78420,172,3.949,383378.82660,0
